                               c.ID                             c.Name                           c.Salary                           c.Nation                            c.Group                            c.Email                     c.RegisterDate                               e.ID                       e.CustomerID                         e.Nickname                        e.BirthDate                           e.CityID                              ci.ID                         ci.stateID                            ci.Name                      ci.Population                               s.ID                             s.Name                       s.Population                              s.GDP

                                  3                    Patricia Murphy                               5500                            Germany                                  4           patriciamurphy@yahoo.com                         2012-01-12                                217                                  3                              Deena                         2012-12-27                                 56                                 56                                 13                            Bedford                              71392                                 13                            Indiana                            6732219                             207706
                                 11                       Dennis Maxcy                               5250                                USA                                  6              dennismaxcy@yahoo.com                         2012-02-24                               2367                                 11                            Jessica                         2012-01-25                                800                                800                                 44                           Winooski                              65458                                 44                            Vermont                             623658                             144686
                                 26                    Diane Niswander                               6500                            Hungary                                  6           dianeniswander@gmail.com                         2012-04-20                               1712                                 26                               Matt                         2012-06-24                                820                                820                                 36                             Albany                             114625                                 36                             Oregon                            4217737                             500051
                                 33                     Richard Manuel                               5500                             Russia                                  1            richardmanuel@yahoo.com                         2012-04-20                               3327                                 33                             Willie                         2012-12-27                                687                                687                                 31                            Bedford                              49302                                 31                            NewYork                           19453625                             825349
                                 35                      Susan Pearson                               2500                                USA                                  5             susanpearson@yahoo.com                         2012-01-12                               1298                                 35                             Thelma                         2012-01-25                                334                                334                                 48                          Sheboygan                              21219                                 48                          Wisconsin                            5822434                             960571
                                 48                          Mark Voss                               6500                                USA                                  3               markvoss@hotmail.com                         2012-02-24                               4183                                 48                               Mark                         2012-12-27                                417                                417                                 35                              Perry                             234848                                 35                           Oklahoma                            3956984                             559557
                                 58                       Marvin Smith                               6000                            Germany                                  3              marvinsmith@yahoo.com                         2012-02-24                               4076                                 58                              Annie                         2012-06-24                                806                                806                                 22                             Biloxi                             224834                                 22                          Minnesota                            5639632                             548444
                                 73                   Ralph Richardson                               6500                             Russia                                  5          ralphrichardson@gmail.com                         2012-02-24                               4752                                 73                            Brendan                         2012-04-20                                634                                634                                 23                        Warrensburg                              28959                                 23                        Mississippi                            2976149                             283139
                                 79                       Charles Rand                               5000                             Russia                                  6            charlesrand@hotmail.com                         2012-01-02                               4330                                 79                              Jamie                         2012-01-25                                673                                673                                 11                              Nampa                             149027                                 11                              Idaho                            1787065                             656710
                                 81                           Mary Gil                               5740                             France                                  4                marygil@hotmail.com                         2012-01-02                               4122                                 81                            Gregory                         2012-04-20                                820                                820                                 36                             Albany                             114625                                 36                             Oregon                            4217737                             500051
                                 84                      Donald Simons                               5740                                USA                                  9             donaldsimons@gmail.com                         2012-04-20                               2800                                 84                             Angela                         2012-04-20                                368                                368                                  1                             Haines                              65737                                  1                             Alaska                             731545                             194665
                                 98                        James Tello                               5740                            Germany                                  5               jamestello@gmail.com                         2012-01-02                               4627                                 98                                Ann                         2012-06-24                                902                                902                                  9                            Augusta                             115810                                  9                            Georgia                           10617423                             595910
                                101                         Jay Mulloy                               2500                             Russia                                  1                jaymulloy@yahoo.com                         2012-01-12                               1056                                101                           Danielle                         2012-06-24                                695                                695                                 36                              Salem                             246780                                 36                             Oregon                            4217737                             500051
                                107                        Jane Walker                               5000                             France                                  0               janewalker@gmail.com                         2012-01-02                               1732                                107                               Tina                         2012-06-24                                903                                903                                 33                          Williston                              59392                                 33                        NorthDakota                             762062                             586738
                                115                  Kathleen Cisneros                               7000                            Hungary                                  1         kathleencisneros@yahoo.com                         2012-02-24                               4499                                115                               John                         2012-04-20                                359                                359                                 44                         Manchester                             202341                                 44                            Vermont                             623658                             144686
                                120                        Judy Taylor                              10000                             France                                  4               judytaylor@yahoo.com                         2012-04-20                                613                                120                            Francis                         2012-12-27                                162                                162                                 36                            Seaside                             140196                                 36                             Oregon                            4217737                             500051
                                128                     Thomas Johnson                               5500                            Romania                                  8            thomasjohnson@gmail.com                         2012-01-02                               2875                                128                          Catherine                         2012-04-20                                163                                163                                 37                          Nanticoke                             217219                                 37                       Pennsylvania                           12801524                             610909
                                131                      Lola Smithson                               5250                            Romania                                  5             lolasmithson@yahoo.com                         2012-04-20                                588                                131                             Raquel                         2012-01-25                                 67                                 67                                  3                             Camden                              79372                                  3                           Arkansas                            3017804                             454302
                                137                    Kimberly Patten                               2500                                USA                                  2         kimberlypatten@hotmail.com                         2012-02-24                               4120                                137                                Ann                         2012-12-27                                543                                543                                 18                              Orono                              33125                                 18                              Maine                            1344212                             634082
                                142                        Virgil Kopp                               5500                             France                                  7             virgilkopp@hotmail.com                         2012-01-12                               3072                                142                              Jason                         2012-12-27                                248                                248                                 40                          Spearfish                             139198                                 40                        SouthDakota                             886741                             871545
