SELECT *
FROM customers c
WHERE c.ID<1000 and c.ID>200 and e.ID<10000
JOIN employees e on c.ID=e.CustomerID                               

    

                                c.ID                             c.Name                           c.Salary                           c.Nation                            c.Group                            c.Email                     c.RegisterDate                               e.ID                       e.CustomerID                         e.Nickname                        e.Birthdate

                                205                      Janet Oetting                               5250                             France                                  1           janetoetting@hotmail.com                         2012-03-05                                848                                205                             Steven                         2012-09-31
                                210                      Peter Erkkila                               5250                            Romania                                  0           petererkkila@hotmail.com                         2012-01-02                                936                                210                            William                         2012-09-31
                                213                    Robert Williams                               5740                                 UK                                  3           robertwilliams@gmail.com                         2012-02-24                               5437                                213                              Scott                         2012-09-31
                                217                     Brandon Munson                               6500                            Hungary                                  2            brandonmunson@gmail.com                         2012-01-02                               6777                                217                              Jason                         2012-04-20
                                231                      Richard Byrne                               5250                                USA                                  6             richardbyrne@gmail.com                         2012-03-05                               7901                                231                             Esther                         2012-06-24
                                237                       Timothy Ward                               6500                            Hungary                                  9            timothyward@hotmail.com                         2012-03-05                               5993                                237                           Maybelle                         2012-04-20
                                238                          Rita Beck                               5000                            Romania                                  3                 ritabeck@gmail.com                         2012-03-05                               8275                                238                               John                         2012-12-27
                                268                   Beverly Phillips                               6000                                 UK                                  7          beverlyphillips@yahoo.com                         2012-01-02                               1171                                268                               Cole                         2012-12-27
                                280                    James Mccrossen                              10000                             Russia                                  7         jamesmccrossen@hotmail.com                         2012-01-12                               5442                                280                               Owen                         2012-04-20
                                286                    Ernesto Sandlan                               6000                            Romania                                  6           ernestosandlan@gmail.com                         2012-01-12                               1408                                286                            Jeffrey                         2012-01-25
                                290                      Marilee Rosko                               6000                                USA                                  3             marileerosko@gmail.com                         2012-03-05                               1350                                290                           Jermaine                         2012-06-24
                                298                    William Ciciora                               5500                             Russia                                  0         williamciciora@hotmail.com                         2012-04-20                               3032                                298                              Alice                         2012-01-25
                                300                        John Rogers                               6000                             Russia                                  1               johnrogers@yahoo.com                         2012-01-02                               2609                                300                            Randall                         2012-09-31
                                306                    Alfredo Krueger                               5500                            Romania                                  3           alfredokrueger@yahoo.com                         2012-01-02                               3147                                306                             Walter                         2012-09-31
                                308                      Michael Homma                               7000                             Russia                                  7             michaelhomma@gmail.com                         2012-02-24                                384                                308                             Joshua                         2012-01-25
                                310                       Jeff Roberts                               6000                            Romania                                  4              jeffroberts@gmail.com                         2012-01-12                               9535                                310                             Margie                         2012-12-27
                                318                    Cecile Telschow                               5250                            Germany                                  6         ceciletelschow@hotmail.com                         2012-04-20                               1778                                318                             Angela                         2012-01-25
                                350                 William Washington                               2500                            Ukraine                                  8        williamwashington@yahoo.com                         2012-04-20                               3958                                350                               Beth                         2012-01-25
                                352                     Michael Kallin                              10000                             Russia                                  0            michaelkallin@yahoo.com                         2012-04-20                               7921                                352                              Dylan                         2012-04-20
                                354                      Phillip Finke                               2500                                USA                                  3             phillipfinke@gmail.com                         2012-01-12                               2954                                354                               Adam                         2012-12-27
                                357                        Leroy Clark                               5250                            Ukraine                                  0               leroyclark@yahoo.com                         2012-01-02                               5647                                357                             Sirena                         2012-04-20
                                360                      Kevin Almanza                               5500                            Romania                                  8           kevinalmanza@hotmail.com                         2012-03-05                               5388                                360                              Nancy                         2012-04-20
                                367                       Davina Cates                               6500                             France                                  1            davinacates@hotmail.com                         2012-01-12                               1290                                367                            Charles                         2012-04-20
                                384                    Timothy Johnson                               6500                             France                                  0           timothyjohnson@yahoo.com                         2012-01-12                               5978                                384                            Brandon                         2012-09-31
                                387                     Johanna Omeara                               7000                            Romania                                  7          johannaomeara@hotmail.com                         2012-01-12                               5749                                387                            Michael                         2012-06-24
                                390                     Steven Knowles                              10000                             France                                  8          stevenknowles@hotmail.com                         2012-01-02                               1829                                390                              Amber                         2012-09-31
